add-none,2,100,200,203611,1018,0
add-none,2,1000,2000,201414,100,0
add-none,2,10000,20000,643846,32,-3455
add-none,2,100000,200000,4113008,20,3162
add-none,4,100,400,226253,565,0
add-none,4,1000,4000,267852,66,429
add-none,4,10000,40000,2970151,74,17833
add-none,4,100000,400000,10663006,26,1717
add-none,8,100,800,485965,607,0
add-none,8,1000,8000,435674,54,-1432
add-none,8,10000,80000,2291693,28,1011
add-none,8,100000,800000,21129124,26,9067
add-none,12,100,1200,582691,485,-81
add-none,12,1000,12000,607130,50,-1621
add-none,12,10000,120000,3543984,29,-328
add-none,12,100000,1200000,34221482,28,4082
add-yield-none,2,10,20,199415,9970,-10
add-yield-none,2,20,40,199657,4991,-13
add-yield-none,2,40,80,232735,2909,22
add-yield-none,2,80,160,185807,1161,49
add-yield-none,2,100,200,219576,1097,53
add-yield-none,2,1000,2000,969423,484,8
add-yield-none,2,10000,20000,7390947,369,-188
add-yield-none,2,100000,200000,70399178,351,-335
add-yield-none,4,10,40,241686,6042,-11
add-yield-none,4,20,80,266861,3335,0
add-yield-none,4,40,160,258479,1615,-17
add-yield-none,4,80,320,286292,894,75
add-yield-none,4,100,400,307176,767,143
add-yield-none,4,1000,4000,1004237,251,48
add-yield-none,4,10000,40000,8810826,220,224
add-yield-none,4,100000,400000,85142160,212,913
add-yield-none,8,10,80,470432,5880,-8
add-yield-none,8,20,160,448878,2805,0
add-yield-none,8,40,320,468003,1462,0
add-yield-none,8,80,640,491977,768,-186
add-yield-none,8,100,800,428588,535,129
add-yield-none,8,1000,8000,1773086,221,57
add-yield-none,8,10000,80000,15315112,191,-248
add-yield-none,8,100000,800000,155995753,194,387
add-yield-none,12,10,120,623664,5197,-10
add-yield-none,12,20,240,590350,2459,-45
add-yield-none,12,40,480,645798,1345,-34
add-yield-none,12,80,960,628138,654,-46
add-yield-none,12,100,1200,633514,527,35
add-yield-none,12,1000,12000,2538411,211,29
add-yield-none,12,10000,120000,23148572,192,82
add-yield-none,12,100000,1200000,225105418,187,-9403
add-none,1,10,10,200457,20045,0
add-none,1,20,20,161511,8075,0
add-none,1,40,40,240017,6000,0
add-none,1,80,80,136993,1712,0
add-none,1,100,100,220724,2207,0
add-none,1,1000,1000,244464,244,0
add-none,1,10000,10000,249519,24,0
add-none,1,100000,100000,1341154,13,0
add-yield-m,2,10,20,215734,10786,0
add-yield-m,2,20,40,241944,6048,0
add-yield-m,2,40,80,207504,2593,0
add-yield-m,2,80,160,305841,1911,0
add-yield-m,2,100,200,322943,1614,0
add-yield-m,2,1000,2000,1863477,931,0
add-yield-m,2,10000,20000,17546186,877,0
add-yield-m,2,100000,200000,152016173,760,0
add-yield-m,4,10,40,224923,5623,0
add-yield-m,4,20,80,301275,3765,0
add-yield-m,4,40,160,394455,2465,0
add-yield-m,4,80,320,608355,1901,0
add-yield-m,4,100,400,740912,1852,0
add-yield-m,4,1000,4000,6706842,1676,0
add-yield-m,4,10000,40000,66502064,1662,0
add-yield-m,4,100000,400000,648847998,1622,0
add-yield-m,8,10,80,460164,5752,0
add-yield-m,8,20,160,443205,2770,0
add-yield-m,8,40,320,572730,1789,0
add-yield-m,8,80,640,1758532,2747,0
add-yield-m,8,100,800,1909719,2387,0
add-yield-m,8,1000,8000,17425987,2178,0
add-yield-m,8,10000,80000,173823025,2172,0
add-yield-m,8,100000,800000,1610870769,2013,0
add-yield-m,12,10,120,601484,5012,0
add-yield-m,12,20,240,569047,2371,0
add-yield-m,12,40,480,1379901,2874,0
add-yield-m,12,80,960,2178521,2269,0
add-yield-m,12,100,1200,2861691,2384,0
add-yield-m,12,1000,12000,25840560,2153,0
add-yield-m,12,10000,120000,240417755,2003,0
add-yield-m,12,100000,1200000,2310304418,1925,0
add-yield-s,2,10,20,153705,7685,0
add-yield-s,2,20,40,194638,4865,0
add-yield-s,2,40,80,210776,2634,0
add-yield-s,2,80,160,257705,1610,0
add-yield-s,2,100,200,271790,1358,0
add-yield-s,2,1000,2000,1447230,723,0
add-yield-s,2,10000,20000,13883865,694,0
add-yield-s,2,100000,200000,178950510,894,0
add-yield-s,4,10,40,253453,6336,0
add-yield-s,4,20,80,240217,3002,0
add-yield-s,4,40,160,270429,1690,0
add-yield-s,4,80,320,404341,1263,0
add-yield-s,4,100,400,464645,1161,0
add-yield-s,4,1000,4000,4663471,1165,0
add-yield-s,4,10000,40000,37192879,929,0
add-yield-s,4,100000,400000,359379755,898,0
add-yield-s,8,10,80,412847,5160,0
add-yield-s,8,20,160,433919,2711,0
add-yield-s,8,40,320,476521,1489,0
add-yield-s,8,80,640,1117557,1746,0
add-yield-s,8,100,800,1111954,1389,0
add-yield-s,8,1000,8000,11128019,1391,0
add-yield-s,8,10000,80000,131964771,1649,0
add-yield-s,8,100000,800000,1020965404,1276,0
add-yield-s,12,10,120,638822,5323,0
add-yield-s,12,20,240,563352,2347,0
add-yield-s,12,40,480,918491,1913,0
add-yield-s,12,80,960,2001139,2084,0
add-yield-s,12,100,1200,2712570,2260,0
add-yield-s,12,1000,12000,24002917,2000,0
add-yield-s,12,10000,120000,226554422,1887,0
add-yield-s,12,100000,1200000,2591957784,2159,0
add-yield-c,2,10,20,231305,11565,0
add-yield-c,2,20,40,184863,4621,0
add-yield-c,2,40,80,191941,2399,0
add-yield-c,2,80,160,246684,1541,0
add-yield-c,2,100,200,251751,1258,0
add-yield-c,2,1000,2000,1523565,761,0
add-yield-c,2,10000,20000,12946802,647,0
add-yield-c,2,100000,200000,124852021,624,0
add-yield-c,4,10,40,244244,6106,0
add-yield-c,4,20,80,236423,2955,0
add-yield-c,4,40,160,270128,1688,0
add-yield-c,4,80,320,374365,1169,0
add-yield-c,4,100,400,393571,983,0
add-yield-c,4,1000,4000,3453861,863,0
add-yield-c,4,10000,40000,33801228,845,0
add-yield-c,4,100000,400000,327368809,818,0
add-yield-c,8,10,80,403606,5045,0
add-yield-c,8,20,160,417963,2612,0
add-yield-c,8,40,320,479310,1497,0
add-yield-c,8,80,640,808375,1263,0
add-yield-c,8,100,800,980191,1225,0
add-yield-c,8,1000,8000,9008274,1126,0
add-yield-c,8,10000,80000,85267088,1065,0
add-yield-c,8,100000,800000,865189557,1081,0
add-yield-c,12,10,120,623873,5198,0
add-yield-c,12,20,240,585616,2440,0
add-yield-c,12,40,480,643905,1341,0
add-yield-c,12,80,960,1370071,1427,0
add-yield-c,12,100,1200,1591162,1325,0
add-yield-c,12,1000,12000,15308864,1275,0
add-yield-c,12,10000,120000,147636037,1230,0
add-yield-c,12,100000,1200000,1378245935,1148,0
add-m,1,10000,10000,762634,76,0
add-m,2,10000,20000,3085696,154,0
add-m,4,10000,40000,16782392,419,0
add-m,8,10000,80000,26509976,331,0
add-m,12,10000,120000,33300158,277,0
add-s,1,10000,10000,388734,38,0
add-s,2,10000,20000,2922216,146,0
add-s,4,10000,40000,12287768,307,0
add-s,8,10000,80000,52283458,653,0
add-s,12,10000,120000,115107132,959,0
add-c,1,10000,10000,1329493,132,0
add-c,2,10000,20000,2117656,105,0
add-c,4,10000,40000,7801450,195,0
add-c,8,10000,80000,17595765,219,0
add-c,12,10000,120000,26112916,217,0
add-none,1,10000,10000,298903,29,0
add-none,2,10000,20000,576187,28,-950
add-none,4,10000,40000,1189165,29,-10
add-none,8,10000,80000,2533321,31,233
add-none,12,10000,120000,3668622,30,219
