list-none-none,1,10,1,10,128753,12875
list-none-none,1,100,1,100,186121,1861
list-none-none,1,1000,1,1000,2736491,2736
list-none-none,1,10000,1,10000,447939221,44793
list-none-none,1,20000,1,20000,2268867902,113443
list-none-none,2,10,1,20,93640,4682
list-none-none,4,10,1,40,165221,4130
list-i-none,2,2,1,4,146179,36544
list-i-none,2,4,1,8,135903,16987
list-i-none,2,16,1,32,159429,4982
list-i-none,2,32,1,64,159035,2484
list-i-none,12,2,1,24,343883,14328
list-i-none,12,8,1,96,290723,3028
list-d-none,2,2,1,4,116891,29222
list-d-none,2,8,1,16,112533,7033
list-d-none,2,16,1,32,117371,3667
list-d-none,4,2,1,8,132456,16557
list-d-none,4,16,1,64,167662,2619
list-d-none,8,2,1,16,236297,14768
list-d-none,8,8,1,64,243835,3809
list-d-none,12,2,1,24,295106,12296
list-d-none,12,16,1,192,308387,1606
list-il-none,2,2,1,4,142071,35517
list-il-none,2,4,1,8,157427,19678
list-il-none,2,8,1,16,61758,3859
list-il-none,8,2,1,16,202151,12634
list-il-none,12,4,1,48,329817,6871
list-dl-none,2,16,1,32,154948,4842
list-dl-none,2,32,1,64,161160,2518
list-dl-none,4,2,1,8,152972,19121
list-dl-none,4,8,1,32,143344,4479
list-dl-none,8,16,1,128,209086,1633
list-dl-none,12,2,1,24,372297,15512
list-dl-none,12,8,1,96,278569,2901
list-dl-none,12,16,1,192,277565,1445
list-i-m,12,32,1,384,2033322,5295
list-i-s,12,32,1,384,867274,2258
list-d-m,12,32,1,384,1964035,5114
list-d-s,12,32,1,384,605742,1577
list-il-m,12,32,1,384,2141565,5576
list-il-s,12,32,1,384,1120738,2918
list-dl-m,12,32,1,384,2120198,5521
list-dl-s,12,32,1,384,1060923,2762
list-none-m,2,1000,1,2000,20808412,10404
list-none-m,4,1000,1,4000,77061386,19265
list-none-m,8,1000,1,8000,349919168,43739
list-none-m,12,1000,1,12000,801160239,66763
list-none-m,16,1000,1,16000,1617001110,101062
list-none-m,24,1000,1,24000,3199301267,133304
list-none-s,2,1000,1,2000,10614263,5307
list-none-s,4,1000,1,4000,27241145,6810
list-none-s,8,1000,1,8000,386361905,48295
list-none-s,12,1000,1,12000,233521839,19460
list-none-s,16,1000,1,16000,981574020,61348
list-none-s,24,1000,1,24000,1591624259,66317
